sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
74,"Western Michigan Broncos",29,21.8,37.7,25.4,1.163,21.8,12.4,9.4,57,57,0.04,3.6,57,21.8,12.4,9.4,57,0,0,0,,0
77,"Jacksonville Dolphins",28,21.1,36.5,24.5,1.162,21.1,11.9,9.3,56.2,56.2,0.05,5.1,56.2,21.1,11.9,9.3,56.2,0,0,0,,0
77,"Buffalo Bulls",28,23.9,43.1,27.7,1.162,23.9,13.4,10.5,56.1,56.1,0.06,6.1,56.1,23.9,13.4,10.5,56.1,0,0,0,,0
79,"Austin Peay Governors",26,21.5,43.1,25,1.161,21.5,11.8,9.7,55,55,0.08,7.7,55,21.5,11.8,9.7,55,0,0,0,,0
80,"North Carolina A&T Aggies",30,26,44.6,30.2,1.16,26,14.6,11.4,56.1,56.1,0.05,5.1,56.1,26,14.6,11.4,56.1,0,0,0,,0
81,"Quinnipiac Bobcats",30,20.8,38.2,24.1,1.158,20.8,11.6,9.2,55.7,55.7,0.06,5.8,55.7,20.8,11.6,9.2,55.7,0,0,0,,0
81,"Texas-(Austin) Longhorns",36,23.5,37.4,27.2,1.158,23.5,13.2,10.3,56.1,56.1,0.06,6.3,56.1,23.5,13.2,10.3,56.1,0,0,0,,0
81,"Idaho Vandals",31,19.4,32.6,22.5,1.158,19.4,10.7,8.7,55.1,55.1,0.07,7.2,55.1,19.4,10.7,8.7,55.1,0,0,0,,0
81,"Murray State Racers",31,21.1,37,24.4,1.158,21.1,11.7,9.4,55.6,55.6,0.06,5.7,55.6,21.1,11.7,9.4,55.6,0,0,0,,0
85,"Youngstown State Penguins",30,24.4,42.1,28.2,1.157,24.4,13.7,10.7,56.1,56.1,0.07,6.6,56.1,24.4,13.7,10.7,56.1,0,0,0,,0
85,"Eastern Michigan Eagles",30,25.9,44.7,29.9,1.157,25.9,14.3,11.5,55.4,55.4,0.06,6.2,55.4,25.9,14.3,11.5,55.4,0,0,0,,0
85,"Northeastern Huskies",31,23.1,40.1,26.7,1.157,23.1,13.1,10,56.8,56.8,0.03,3.2,56.8,23.1,13.1,10,56.8,0,0,0,,0
88,"Grand Canyon University Antelopes",31,26.2,42.6,30.2,1.154,26.2,14.5,11.6,55.6,55.6,0.06,6.4,55.6,26.2,14.5,11.6,55.6,0,0,0,,0
89,"Montana Lady Griz",30,18.2,30.4,21,1.152,18.2,10.1,8.1,55.5,55.5,0.05,4.9,55.5,18.2,10.1,8.1,55.5,0,0,0,,0
89,"UC Santa Barbara Gauchos",33,22.3,41.1,25.7,1.152,22.3,12.4,9.9,55.6,55.6,0.06,5.8,55.6,22.3,12.4,9.9,55.6,0,0,0,,0
91,"Lipscomb Bisons",32,22.4,38,25.8,1.149,22.4,12.3,10.2,54.7,54.7,0.08,8.5,54.7,22.4,12.3,10.2,54.7,0,0,0,,0
92,"Southern Miss Golden Eagles",31,24.5,42.2,28.1,1.148,24.5,13.6,10.9,55.6,55.6,0.06,5.5,55.6,24.5,13.6,10.9,55.6,0,0,0,,0
92,"Rider Broncs",31,18.8,35.3,21.6,1.148,18.8,10.4,8.5,55.1,55.1,0.06,6,55.1,18.8,10.4,8.5,55.1,0,0,0,,0
94,"Wisconsin Badgers",32,20.7,35.7,23.7,1.147,20.7,11.4,9.3,55.2,55.2,0.06,6.4,55.2,20.7,11.4,9.3,55.2,0,0,0,,0
95,"UC San Diego Tritons",30,16.9,31.1,19.3,1.146,16.9,9.2,7.7,54.3,54.3,0.07,7.3,54.3,16.9,9.2,7.7,54.3,0,0,0,,0
96,"Abilene Christian Wildcats",30,25.3,42.2,28.9,1.145,25.3,14.1,11.2,55.8,55.8,0.04,4,55.8,25.3,14.1,11.2,55.8,0,0,0,,0
96,"Arkansas-(Pine Bluff) Golden Lions",27,22.8,39.1,26.1,1.145,22.8,12.4,10.3,54.6,54.6,0.08,8,54.6,22.8,12.4,10.3,54.6,0,0,0,,0
96,"Santa Clara Broncos",31,24.5,40.2,28.1,1.145,24.5,13.6,11,55.3,55.3,0.05,4.6,55.3,24.5,13.6,11,55.3,0,0,0,,0
99,"Texas-(San Antonio) Roadrunners",32,23.2,38.7,26.5,1.144,23.2,12.7,10.5,54.6,54.6,0.07,6.7,54.6,23.2,12.7,10.5,54.6,0,0,0,,0
99,"Washington State Cougars",34,24,41.3,27.4,1.144,24,13.4,10.6,56,56,0.04,3.7,56,24,13.4,10.6,56,0,0,0,,0
101,"Eastern Illinois Panthers",28,23,39.2,26.3,1.141,23,12.6,10.4,54.7,54.7,0.06,5.6,54.7,23,12.6,10.4,54.7,0,0,0,,0
101,"Arkansas Razorbacks",37,23.8,39.1,27.2,1.141,23.8,13.1,10.8,54.8,54.8,0.07,7.2,54.8,23.8,13.1,10.8,54.8,0,0,0,,0
103,"Old Dominion Lady Monarchs",34,21.5,34.3,24.5,1.14,21.5,11.9,9.6,55.2,55.2,0.07,6.6,55.2,21.5,11.9,9.6,55.2,0,0,0,,0
