Date,Opponent,Result,Attendance,GameID
03/21/2024,"('@ USC Upstate 23-24 WBB WNIT', '/teams/560551')",W 78-60,"('404', None)",5254439
03/24/2024,"('@ Illinois St. 23-24 WBB WNIT', '/teams/560803')",L 67-74,"('1,537', None)",5254435
11/06/2023,"('East Carolina', '/teams/560728')",L 37-68,"('692', None)",3970196
11/11/2023,"('@ Gardner-Webb', '/teams/561246')",W 90-69,"('245', None)",3970886
11/15/2023,"('@ NC State', '/teams/560962')",L 35-90,"('4,402', None)",3971576
11/18/2023,"('@ North Carolina', '/teams/560927')",L 39-68,"('2,566', None)",3972082
11/22/2023,"('Bradley @Atlanta, GA (23-24 WBB Georgia State Thanksgiving Tournament)', '/teams/560625')",L 59-66,"('839', None)",4469486
11/23/2023,"('@ Georgia St. 23-24 WBB Georgia State Thanksgiving Tournament', '/teams/560770')",W 75-68,"('771', None)",4053023
11/28/2023,"('@ Old Dominion', '/teams/561001')",L 29-60,"('1,653', None)",3973272
12/02/2023,"('Wingate', '/teams/561653')",L 53-72,"('422', None)",3973716
12/10/2023,"('@ UNC Greensboro', '/teams/560930')",L 47-52,"('317', None)",3974970
12/14/2023,"('@ Furman', '/teams/560760')",L 47-73,"('518', None)",3975174
12/17/2023,"('Marshall', '/teams/560872')",L 77-84,"('594', None)",3975504
12/19/2023,"('Mount Olive', '/teams/561322')",W 65-39,"('581', None)",3975691
12/30/2023,"('@ High Point', '/teams/560554')",W 74-66,"('1,488', None)",3976455
01/05/2024,"('Towson', '/teams/561163')",L 53-58,"('601', None)",3976983
01/07/2024,"('Col. of Charleston', '/teams/561242')",L 45-57,"('762', None)",3977484
01/12/2024,"('@ Campbell', '/teams/560665')",W 45-44,"('1,023', None)",3977986
01/14/2024,"('William & Mary', '/teams/561221')",L 43-62,"('753', None)",3978495
01/19/2024,"('@ Monmouth', '/teams/560910')",W 65-60,"('391', None)",3978997
01/21/2024,"('@ Hofstra', '/teams/560788')",W 55-54,"('1,007', None)",3979546
01/28/2024,"('@ N.C. A&T', '/teams/560959')",L 42-56,"('1,059', None)",3980553
02/02/2024,"('Northeastern', '/teams/560973')",L 46-51,"('3,045', None)",3981031
02/04/2024,"('Campbell', '/teams/560665')",L 35-53,"('719', None)",3981540
02/09/2024,"('@ Hampton', '/teams/560779')",W 69-51,"('699', None)",3982043
02/11/2024,"('UNCW', '/teams/560932')",L 58-60,"('789', None)",3982557
02/16/2024,"('@ Northeastern', '/teams/560973')",W 53-37,"('201', None)",3983059
02/18/2024,"('@ Stony Brook', '/teams/561130')",L 32-61,"('1,310', None)",3983477
02/23/2024,"('@ William & Mary', '/teams/561221')",L 61-73,"('1,088', None)",3983791
02/25/2024,"('N.C. A&T', '/teams/560959')",L 46-77,"('1,342', None)",3984057
03/03/2024,"('@ Delaware', '/teams/560715')",W 54-49,"('1,625', None)",3984582
03/07/2024,"('Hofstra', '/teams/560788')",W 74-62,"('812', None)",3984653
03/09/2024,"('Drexel', '/teams/560722')",L 43-56,"('809', None)",3984691
03/14/2024,"('#8 Campbell @Washington, DC (23-24 WBB CAA Tournament)', '/teams/560665')",L 52-67,"('650', None)",5250664
11/08/2023,"('@ North Carolina', '/teams/560927')",L 49-102,"('2,212', None)",3970459
11/11/2023,"('Elon', '/teams/561244')",L 69-90,"('245', None)",3970886
11/15/2023,"('Richmond', '/teams/561043')",L 53-80,"('2,167', None)",3971444
11/17/2023,"('@ Charlotte', '/teams/560928')",L 43-93,"('635', None)",3971694
11/20/2023,"('@ Col. of Charleston', '/teams/561242')",L 78-90,"('285', None)",3972279
11/26/2023,"('@ UNC Greensboro', '/teams/560930')",L 47-64,"('186', None)",3973094
11/29/2023,"('Furman', '/teams/560760')",L 66-73,"('150', None)",3973451
12/07/2023,"('@ FGCU', '/teams/560561')",L 53-102,"('1,251', None)",3974554
12/10/2023,"('@ South Fla.', '/teams/561095')",L 75-105,"('2,346', None)",3974959
12/15/2023,"('App State', '/teams/560592')",W 82-78,"('117', None)",3975281
12/17/2023,"('Florida', '/teams/560757')",L 37-115,"('270', None)",3975567
12/20/2023,"('@ ETSU', '/teams/560730')",L 48-60,"('3,281', None)",3975904
12/30/2023,"('@ Queens (NC)', '/teams/561260')",L 48-66,"('172', None)",3976386
01/06/2024,"('High Point', '/teams/560554')",L 64-74,"('215', None)",3977146
01/10/2024,"('@ Charleston So.', '/teams/560609')",L 61-83,"('347', None)",3977638
01/13/2024,"('@ Presbyterian', '/teams/561252')",W 72-58,"('303', None)",3978343
01/17/2024,"('Radford', '/teams/561037')",L 71-80,"('115', None)",3978795
01/20/2024,"('@ Winthrop', '/teams/561223')",L 50-61,"('218', None)",3979299
01/24/2024,"('Longwood', '/teams/560848')",W 74-59,"('208', None)",3979795
01/27/2024,"('USC Upstate', '/teams/560551')",L 59-78,"('509', None)",3980162
01/31/2024,"('@ UNC Asheville', '/teams/560925')",L 58-72,"('341', None)",3980800
02/07/2024,"('Presbyterian', '/teams/561252')",W 86-57,"('157', None)",3981824
02/10/2024,"('@ High Point', '/teams/560554')",L 72-75,"('1,004', None)",3982544
02/14/2024,"('Charleston So.', '/teams/560609')",L 69-76,"('152', None)",3982811
02/17/2024,"('@ USC Upstate', '/teams/560551')",L 56-73,"('0', None)",3983097
02/21/2024,"('@ Radford', '/teams/561037')",W 63-58,"('744', None)",3983635
02/24/2024,"('UNC Asheville', '/teams/560925')",W 80-65,"('255', None)",3983855
02/28/2024,"('@ Longwood', '/teams/560848')",L 57-67,"('873', None)",3984141
03/02/2024,"('Winthrop', '/teams/561223')",L 54-72,"('369', None)",3984427
03/06/2024,"('#9 UNC Asheville @High Point, NC (23-24 WBB Big South Tournament)', '/teams/560925')",L 74-75,"('978', None)",5249227
11/06/2023,"(""Saint Mary's (CA)"", '/teams/561064')",W 55-52,"('1,557', None)",3970234
11/11/2023,"('@ North Dakota', '/teams/560967')",W 73-61,"('1,423', None)",3971104
11/16/2023,"('Oregon', '/teams/561007')",L 56-64,"('2,136', None)",3971665
11/20/2023,"('Montana', '/teams/560914')",L 71-76,"('523', None)",3972318
11/24/2023,"('Fresno St. 23-24 WBB GCU Classic', '/teams/560644')",W 55-36,"('513', None)",3972744
11/25/2023,"('Nicholls 23-24 WBB GCU Classic', '/teams/560954')",W 63-40,"('502', None)",3972959
11/29/2023,"('UTRGV', '/teams/561011')",W 63-50,"('1,712', None)",3973389
12/02/2023,"('@ UT Arlington', '/teams/561153')",W 77-48,"('828', None)",3973969
12/08/2023,"('@ Arizona St.', '/teams/560594')",W 66-59,"('2,104', None)",3974564
12/17/2023,"('@ Idaho', '/teams/560801')",W 65-63 (1 OT),"('1,034', None)",3975539
12/20/2023,"('@ Liberty', '/teams/560844')",L 52-65,"('697', None)",3975874
12/27/2023,"('Arizona Christian', None)",W 115-41,"('462', None)",3976049
12/30/2023,"('Middle Tenn.', '/teams/560898')",W 68-59,"('623', None)",3976364
01/04/2024,"('Southern Utah', '/teams/561114')",W 78-60,"('467', None)",3976933
01/06/2024,"('Utah Tech', '/teams/561169')",W 73-48,"('687', None)",3977273
01/11/2024,"('@ Abilene Christian', '/teams/560574')",W 64-55,"('923', None)",3977936
01/13/2024,"('@ Tarleton St.', '/teams/560568')",W 79-47,"('710', None)",3978350
01/18/2024,"('@ Utah Valley', '/teams/560563')",W 78-68,"('1,183', None)",3978933
01/20/2024,"('Seattle U', '/teams/561254')",W 84-73 (2 OT),"('602', None)",3979283
01/25/2024,"('SFA', '/teams/561125')",L 54-59,"('568', None)",3979952
01/27/2024,"('UT Arlington', '/teams/561153')",W 70-35,"('553', None)",3980281
02/01/2024,"('@ Seattle U', '/teams/561254')",W 53-40,"('262', None)",3980973
02/03/2024,"('Utah Valley', '/teams/560563')",W 66-52,"('2,207', None)",3981319
02/10/2024,"('@ Southern Utah', '/teams/561114')",W 77-61,"('354', None)",3982410
02/15/2024,"('@ Utah Tech', '/teams/561169')",W 88-41,"('522', None)",3982980
02/17/2024,"('@ California Baptist', '/teams/560570')",L 65-71,"('687', None)",3983111
02/22/2024,"('Tarleton St.', '/teams/560568')",W 62-43,"('578', None)",3983718
02/24/2024,"('Abilene Christian', '/teams/560574')",W 66-55,"('537', None)",3983931
02/29/2024,"('@ UTRGV', '/teams/561011')",W 66-40,"('625', None)",3984298
03/02/2024,"('@ SFA', '/teams/561125')",L 77-85,"('1,328', None)",3984525
03/09/2024,"('California Baptist', '/teams/560570')",L 81-85 (1 OT),"('1,436', None)",3984703
03/15/2024,"('#3 SFA @Las Vegas, NV (23-24 WBB WAC Tournament)', '/teams/561125')",L 63-66,"('1,343', None)",5250889
11/06/2023,"('@ Vanderbilt', '/teams/561187')",L 51-98,"('2,943', None)",3970215
11/10/2023,"('Life (GA)', None)",W 62-45,"('185', None)",3970757
11/14/2023,"('@ Georgia St.', '/teams/560770')",L 52-62,"('813', None)",3971295
11/19/2023,"('@ Georgia Tech', '/teams/560771')",L 38-77,"('1,957', None)",3972244
11/25/2023,"('Fla. Atlantic', '/teams/560751')",W 57-43,"('136', None)",3972950
11/29/2023,"('Chattanooga', '/teams/561140')",L 43-49,"('414', None)",3973324
12/02/2023,"('Coastal Ga.', None)",W 82-25,"('421', None)",3974034
12/11/2023,"('@ Mississippi St.', '/teams/560902')",L 50-91,"('4,085', None)",3975042
12/17/2023,"('Belmont', '/teams/560553')",L 54-65,"('459', None)",3975509
12/20/2023,"('San Diego St. @West Palm Beach, FL (23-24 WBB West Palm Beach Classic)', '/teams/561070')",L 52-75,"('44', None)",3984865
12/21/2023,"('Providence @West Palm Beach, FL (23-24 WBB West Palm Beach Classic)', '/teams/561030')",W 53-51,"('48', None)",3975995
12/28/2023,"('Georgetown', '/teams/560766')",L 55-57,"('970', None)",3976086
01/02/2024,"('@ Mercer', '/teams/560886')",L 54-70,"('483', None)",3976570
