,poss,1,-1,2,-2,3,-3,4,-4,5,-5,6,-6,7,-7,8,-8,9,-9,10,-10,11,-11,12,-12,13,-13,14,-14,15,-15,16,-16,17,-17,18,-18,19,-19
Dee Dee Davis,41.0,1.0,1.0,6.0,,13.0,12.0,7.0,12.0,17.0,6.0,3.0,1.0,14.0,2.0,7.0,10.0,14.0,15.0,19.0,19.0,,1.0,9.0,1.0,4.0,15.0,,1.0,22.0,23.0,22.0,23.0,1.0,,6.0,8.0,3.0,
Teisha Hyman,42.0,1.0,1.0,5.0,,12.0,14.0,7.0,12.0,20.0,4.0,3.0,1.0,15.0,2.0,9.0,8.0,18.0,13.0,20.0,20.0,,1.0,7.0,2.0,4.0,13.0,,2.0,25.0,24.0,25.0,24.0,2.0,1.0,6.0,9.0,3.0,
Tenin Magassa,41.0,1.0,1.0,6.0,,9.0,12.0,8.0,10.0,20.0,7.0,4.0,1.0,14.0,2.0,8.0,9.0,13.0,13.0,16.0,16.0,,1.0,10.0,2.0,4.0,14.0,,1.0,20.0,16.0,20.0,16.0,,2.0,4.0,9.0,4.0,
Sophie Phillips,48.0,1.0,1.0,5.0,,14.0,19.0,9.0,14.0,21.0,6.0,4.0,1.0,17.0,1.0,7.0,11.0,22.0,18.0,16.0,16.0,,,9.0,3.0,4.0,15.0,,2.0,27.0,19.0,27.0,19.0,,1.0,2.0,8.0,2.0,
Mayé Touré,34.5,1.0,1.0,5.0,,11.0,11.0,6.0,8.0,18.0,4.0,2.0,,13.0,,7.0,7.0,12.0,12.0,15.0,15.0,,,7.0,2.0,2.0,13.0,,2.0,15.0,16.0,15.0,16.0,1.0,1.0,4.0,8.0,3.0,
Ciara Brannon,18.0,,,,2.0,9.0,6.0,1.0,3.0,2.0,6.0,,,,3.0,3.0,,9.0,7.0,7.0,7.0,1.0,,2.0,3.0,8.0,2.0,1.0,,7.0,13.0,7.0,13.0,,1.0,2.0,2.0,,1.0
Amelia Wood,49.0,,,,7.0,19.0,12.0,14.0,8.0,6.0,19.0,1.0,3.0,3.0,11.0,13.0,7.0,17.0,20.0,28.0,28.0,1.0,,3.0,9.0,17.0,6.0,1.0,,27.0,38.0,27.0,38.0,2.0,2.0,9.0,10.0,,4.0
Hawa Komara,28.5,,,2.0,,10.0,13.0,3.0,8.0,9.0,2.0,2.0,1.0,7.0,2.0,2.0,6.0,15.0,12.0,18.0,18.0,,,4.0,1.0,2.0,9.0,,1.0,24.0,17.0,24.0,17.0,2.0,,6.0,4.0,1.0,
Ines Debroise,35.0,,,3.0,,7.0,15.0,5.0,5.0,14.0,5.0,2.0,,7.0,2.0,3.0,8.0,12.0,12.0,25.0,25.0,,,8.0,2.0,3.0,14.0,,1.0,27.0,21.0,27.0,21.0,2.0,2.0,10.0,7.0,3.0,
Sophia Vital,23.5,,,1.0,,3.0,9.0,4.0,3.0,9.0,4.0,1.0,1.0,5.0,3.0,3.0,4.0,9.0,7.0,20.0,20.0,,1.0,4.0,1.0,3.0,6.0,,,18.0,12.0,18.0,12.0,1.0,2.0,10.0,4.0,2.0,1.0
