#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
4.0,Tania Allen,G,6:44,,0,1,0,1,0,0,0,1,2,3,0,2,0,0,1,0,0,591715,591777,5730696
30.0,Kyara Champagne,G,4:23,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,591715,591777,5730696
1.0,Aiyanna Culver,G,27:13,,5,16,4,10,0,0,14,1,1,2,1,3,1,0,4,0,0,591715,591777,5730696
21.0,Marisa Gant,G,16:22,,0,4,0,3,0,0,0,0,1,1,0,1,1,0,3,0,0,591715,591777,5730696
14.0,Josie Hill,C,27:00,,4,8,0,0,0,0,8,1,3,4,2,3,1,1,3,0,0,591715,591777,5730696
5.0,Hailey Hohenecker,G,12:47,,1,5,1,3,0,0,3,1,0,1,0,2,0,0,1,0,0,591715,591777,5730696
25.0,Keona McGee,G,21:25,,0,4,0,2,0,2,0,1,1,2,0,2,0,0,1,0,0,591715,591777,5730696
31.0,Kayla Mount,C,15:10,,1,5,1,1,1,4,4,1,2,3,0,1,1,0,4,0,0,591715,591777,5730696
12.0,Taylor Norris,F,9:25,,1,4,0,0,2,2,4,2,1,3,0,0,0,0,5,1,0,591715,591777,5730696
10.0,Evangelina Parrish,F,7:45,,0,2,0,0,0,0,0,2,3,5,0,2,0,0,0,0,0,591715,591777,5730696
33.0,Kace Urlacher,F,2:04,,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,591715,591777,5730696
11.0,Asha Walker,G,34:44,,7,17,4,13,0,0,18,0,1,1,2,0,1,0,1,0,0,591715,591777,5730696
35.0,Tally Williams,G,10:45,,0,1,0,0,3,4,3,0,2,2,0,1,1,0,1,0,0,591715,591777,5730696
1.0,Mikayla Blakes,G,25:31,,9,18,2,7,3,3,23,2,3,5,5,0,2,0,2,0,0,591940,591659,5734777
