,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
13,,William & Mary,,200:00,1,19,52,5,28,21,29,64,16,25,41,14,24,6,2,24,0,0,561221,560957,3970253
10,,Norfolk St.,,200:00,1,21,57,3,13,21,27,66,15,21,36,11,19,13,1,24,2,0,560957,561221,3970253
11,,William & Mary,,200:00,1,20,54,1,15,13,18,54,11,16,27,12,17,8,1,19,0,0,561221,561193,3970752
14,,VCU,,200:00,1,24,55,7,14,15,18,70,16,25,41,10,22,6,4,19,0,0,561193,561221,3970752
10,,William & Mary,,200:00,1,25,59,7,24,15,18,72,15,24,39,20,19,4,2,23,2,0,561221,560762,3971170
11,,George Mason,,200:00,1,29,61,5,13,14,19,77,10,21,31,15,13,6,0,19,0,0,560762,561221,3971170
12,,Virginia,,200:00,1,29,71,6,22,16,20,80,18,38,56,15,12,7,8,17,0,0,561198,561221,3971578
11,,William & Mary,,200:00,1,18,67,3,19,12,16,51,13,25,38,10,14,4,3,19,0,0,561221,561198,3971578
11,,Tennessee St.,,200:00,1,18,50,0,2,17,22,53,10,29,39,5,26,16,2,19,1,0,561137,561221,3972702
12,,William & Mary,,200:00,1,21,57,5,19,16,22,63,12,23,35,17,22,13,3,20,1,0,561221,561137,3972702
10,,FIU,,200:00,1,22,53,4,15,9,18,57,12,25,37,6,23,8,4,12,1,0,560753,561221,4472224
11,,William & Mary,,200:00,1,23,54,5,11,8,8,59,6,22,28,13,20,7,1,16,0,0,561221,560753,4472224
9,,William & Mary,,200:00,1,20,49,2,17,24,30,66,7,24,31,16,18,7,7,21,1,0,561221,561001,3973613
14,,Old Dominion,,200:00,1,23,59,6,20,20,28,72,14,25,39,14,15,11,2,22,1,0,561001,561221,3973613
15,,Navy,,200:00,1,19,58,8,23,7,10,53,8,27,35,10,22,5,3,18,0,0,561180,561221,3974087
14,,William & Mary,,200:00,1,27,56,9,17,18,27,81,6,31,37,19,14,12,6,13,0,0,561221,561180,3974087
12,,James Madison,,200:00,1,28,63,4,15,15,23,75,14,39,53,13,15,4,4,16,0,0,560827,561221,3974538
13,,William & Mary,,200:00,1,21,64,4,15,10,15,56,7,23,30,9,9,7,2,20,1,0,561221,560827,3974538
13,,William & Mary,,200:00,1,34,65,9,22,9,10,86,7,31,38,23,11,6,4,16,0,0,561221,560848,3975527
14,,Longwood,,200:00,1,17,56,4,11,11,17,49,10,25,35,6,19,5,0,16,0,0,560848,561221,3975527
11,,Virginia Tech,,200:00,1,25,63,10,29,16,17,76,13,39,52,14,11,5,5,13,0,0,561196,561221,3976003
13,,William & Mary,,200:00,1,14,59,5,21,10,11,43,7,25,32,8,12,8,0,21,1,0,561221,561196,3976003
11,,Monmouth,,200:00,1,23,58,8,20,12,21,66,7,31,38,12,17,9,4,19,1,0,560910,561221,3976982
9,,William & Mary,,200:00,1,28,73,4,17,10,15,70,14,29,43,12,11,10,2,18,0,0,561221,560910,3976982
12,,Hofstra,,200:00,1,17,70,6,25,6,10,46,22,29,51,11,22,8,0,18,0,0,560788,561221,3977511
9,,William & Mary,,200:00,1,15,47,4,12,14,22,48,6,27,33,9,14,10,6,18,1,1,561221,560788,3977511
9,,William & Mary,,200:00,1,16,56,4,16,15,16,51,9,23,32,9,15,8,3,23,0,0,561221,560959,3978047
10,,N.C. A&T,,200:00,1,16,57,1,9,20,23,53,20,32,52,5,21,5,1,19,0,0,560959,561221,3978047
9,,William & Mary,,225:00,1,29,67,9,18,11,16,78,14,36,50,16,27,12,2,15,0,0,561221,560715,3979060
10,,Delaware,,225:00,1,30,73,5,31,7,14,72,11,26,37,13,23,17,3,16,0,0,560715,561221,3979060
13,,Towson,,200:00,1,28,60,9,20,15,19,80,11,36,47,15,16,4,6,19,0,0,561163,561221,3979519
12,,William & Mary,,200:00,1,25,60,2,9,12,22,64,6,23,29,8,10,11,1,15,0,0,561221,561163,3979519
12,,William & Mary,,200:00,1,20,51,7,15,14,18,61,12,16,28,13,19,11,4,14,0,0,561221,560788,3980061
10,,Hofstra,,200:00,1,20,48,5,15,5,10,50,14,19,33,8,26,9,2,20,1,0,560788,561221,3980061
10,,William & Mary,,200:00,1,21,60,6,19,8,11,56,11,16,27,13,14,7,2,9,0,0,561221,560910,3980538
11,,Monmouth,,200:00,1,27,55,5,18,8,9,67,13,30,43,15,21,7,7,10,0,0,560910,561221,3980538
11,,William & Mary,,200:00,1,30,58,5,16,10,11,75,11,20,31,19,17,14,1,14,0,0,561221,560722,3981560
9,,Drexel,,200:00,1,24,54,4,10,10,12,62,10,17,27,20,20,7,2,13,0,0,560722,561221,3981560
10,,Delaware,,200:00,1,18,56,3,22,19,28,58,10,23,33,8,14,9,1,11,0,0,560715,561221,3982038
11,,William & Mary,,200:00,1,24,55,8,24,6,9,62,11,30,41,16,21,10,3,22,1,0,561221,560715,3982038
11,,Hampton,,200:00,1,18,56,4,16,15,22,55,7,23,30,7,17,11,4,22,1,0,560779,561221,3982554
11,,William & Mary,,200:00,1,19,50,8,22,19,23,65,9,36,45,13,23,7,3,18,0,0,561221,560779,3982554
9,,Campbell,,200:00,1,18,51,9,28,12,16,57,13,26,39,14,17,4,1,11,0,0,560665,561221,3983479
10,,William & Mary,,200:00,1,19,50,1,12,7,10,46,6,22,28,8,14,6,2,18,1,0,561221,560665,3983479
11,,William & Mary,,200:00,1,20,48,2,15,24,30,66,8,31,39,18,21,9,2,13,1,0,561221,560779,3984072
